TERMO;DEFINICAO
ABRIGO;local de proteção (sol e chuva) para os usuários do transporte coletivo (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
ACLIVE;inclinação de terreno um tanto acentuada, em sentido ascendente (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
ACOSTAMENTO;parte da via diferenciada da pista de rolamento destinada à parada ou estacionamento de veículos, em caso de emergência, e à circulação de pedestres e bicicletas, quando não houver local apropriado para esse fim (Anexo I do CTB).
AE;Autorização Específica válida por período de um ano. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
AED;Autorização Específica Definitiva. (MBFT - Manual Brasileiro de Fiscalização de Trânsito). AET - Autorização Especial de Trânsito. (MBFT - Manual Brasileiro de Fiscalização de Trânsito). AGENTE DA AUTORIDADE DE TRÂNSITO - agente de trânsito e policial rodoviário federal que atuam na fiscalização, no controle e na operação de trânsito e no patrulhamento, competentes para a lavratura do auto de infração e para os procedimentos dele decorrentes, incluídos o policial militar ou os agentes referidos no art. 25-A deste Código, quando designados pela autoridade de trânsito com circunscrição sobre a via, mediante convênio, na forma prevista neste Código (Lei 14.229/21).
AGENTE DE TRÂNSITO;servidor civil efetivo de carreira do órgão ou entidade executivos de trânsito ou rodoviário, com as atribuições de educação, operação e fiscalização de trânsito e de transporte no exercício regular do poder de polícia de trânsito para promover a segurança viária nos termos da Constituição Federal (Lei 14.229/21).
AJARDINAMENTO;local com características de jardim público (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
ANGULOS DE VISIBILIDADE GEOMÉTRICA;"ângulos que determinam o campo do ângulo sólido mínimo no qual a superfície aparente da lanterna deve ser visível., onde: o campo do ângulo sólido é determinado pelos segmentos de uma esfera, cujo centro coincide com o centro de referência do dispositivo e o equador é paralelo ao solo; os segmentos de uma esfera são determinados em relação ao eixo de referência, os ângulos horizontais ""Beta"" correspondem à longitude e os ângulos verticais ""Alfa"" à latitude; no interior dos ângulos de visibilidade geométrica não deve existir obstáculo para a propagação"
AR ALVEOLAR;ar expirado pela boca de um indivíduo, originário dos alvéolos pulmonares (Lei federal nº 12.760/12).
ÁREA DE CONFLITO VEICULAR;é a área formada somente pelas pistas de rolamento de uma interseção (MBFT - Manual Brasileiro de Fiscalização de Trânsito). ÁREA DE CRUZAMENTO = INTERSEÇÃO - para fins de fiscalização é a área formada pelo cruzamento, entroncamento ou bifurcação de duas ou mais vias, compreendendo calçada e pista de rolamento. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
ÁREA DE ESPERA;área delimitada por 2 (duas) linhas de retenção, destinada exclusivamente à espera de motocicletas, motonetas e ciclomotores, junto à aproximação semafórica, imediatamente à frente da linha de retenção dos demais veículos (Lei Federal 14.071 de 2020).
ÁREA DE ESTACIONAMENTO ROTATIVO;é a parte da via sinalizada para o estacionamento de veículos, gratuito ou pago, regulamentado para um período determinado pelo órgão ou entidade com circunscrição sobre a via. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
ARRASTAR;roçar, puxar, deslizar, o que implica contato da carga com o pavimento (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
AUTOMÓVEL;veículo automotor destinado ao transporte de passageiros, com capacidade para até oito pessoas, exclusive o condutor (Anexo I do CTB).
AUTORIDADE DE TRÂNSITO;dirigente máximo de órgão ou entidade executivo integrante do Sistema Nacional de Trânsito ou pessoa por ele expressamente credenciada (Anexo I do CTB).
BAGAGEIRO;o bagageiro equipara-se ao compartimento de carga destinado ao transporte de bagagens (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
BAGAGEM;conjunto de objetos de uso pessoal do passageiro, devidamente acondicionado, transportado no bagageiro do veículo (Decreto Federal 2521/98).
BALANÇA RODOVIÁRIA;instrumento de pesagem de veículos (PBT/PBTC ou eixos), pertencente ao poder público ou privado, desde que cumpridos os requisitos metrológicos. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
BALANÇO TRASEIRO;distância entre o plano vertical passando pelos centros das rodas traseiras extremas e o ponto mais recuado do veículo, considerando-se todos os elementos rigidamente fixados ao mesmo (Anexo I do CTB).
BICICLETA;veículo de propulsão humana, dotado de duas rodas, não sendo, para efeito do Código de Trânsito, similar à motocicleta, motoneta e ciclomotor(Anexo I do CTB).
BICICLETA ELÉTRICA OU MOTORIZADA;"bicicleta dotada originalmente de motor elétrico auxiliar, bem como aquela que tiver o dispositivo motriz agregado posteriormente à sua estrutura, sendo permitida a sua circulação em ciclovias e ciclofaixas. atendidas as seguintes condições: I - potência nominal máxima de até 350 Watts; II - velocidade máxima de 25 km/h; III - serem dotadas de sistema que garanta o funcionamento do motor somente quando o condutor pedalar; IV - não dispor de acelerador ou de qualquer outro dispositivo de variação manual de potência; V - estarem dotadas de: a) indicador de velocidade; b) campainha; c) sinalização noturna dianteira, traseira e lateral; d) espelhos retrovisores em ambos os lados; e e) pneus em condições mínimas de segurança; VI - uso obrigatório de capacete de ciclista.(MBFT - Manual Brasileiro de Fiscalização de Trânsito). BICICLETÁRIO - local, na via ou fora dela, destinado ao estacionamento de bicicletas (Anexo I do CTB)."
BLOQUEIO VIÁRIO;entende-se por bloqueio a proibição da passagem de veículos por uma via, pista ou faixa por motivos de segurança do trânsito (acidente, obra ou buraco na pista, evento, passeata, etc.) ou controle sanitário/ aduaneiro/ tributário/ etc., sinalizado com: cone, cavalete e demais dispositivos de uso temporário, complementados ou não com placas de sinalização. Obs: viatura em caráter provisório ou emergencial (MBFT - Manual Brasileiro de Fiscalização de Trânsito). BONDE - veículo de propulsão elétrica que se move sobre trilhos (Anexo I do CTB).
BORDO DA PISTA;margem da pista, podendo ser demarcada por linhas longitudinais de bordo que delineiam a parte da via destinada à circulação de veículos (Anexo I do CTB).
CALÇADA;parte da via, normalmente segregada e em nível diferente, não destinada à circulação de veículos, reservada ao trânsito de pedestres e, quando possível, à implantação de mobiliário urbano, sinalização, vegetação e outros fins (Anexo I do CTB).
CALÇO DE SEGURANÇA;dispositivo de madeira, concreto ou outros materiais, que colocado entre a roda do veículo e o pavimento, impeça o seu deslocamento. (MBFT - Manual Brasileiro de Fiscalização de Trânsito). O calço de segurança deverá ter condições de cumprir seu objetivo, com tamanho e constituição suficientes para impedir o deslocamento do veículo ou combinação, caso contrário o veículo estará sujeito à autuação desse dispositivo.
CAMINHÃO;veículo automotor destinado ao transporte de carga com peso bruto total superior a 3.500 kg (três mil e quinhentos quilogramas), podendo tracionar ou arrastar outro veículo, respeitada a capacidade máxima de tração.(MBFT - Manual Brasileiro de Fiscalização de Trânsito). CAMINHÃO-TRATOR - veículo automotor destinado a tracionar ou arrastar outro (Anexo I do CTB). CAMINHONETE - veículo destinado ao transporte de carga com peso bruto total de até três mil e quinhentos quilogramas (Anexo I do CTB).
CAMIONETA;veículo misto destinado ao transporte de passageiros e carga no mesmo compartimento (Anexo I do CTB).
CANTEIRO CENTRAL;obstáculo físico construído como separador de duas pistas de rolamento, eventualmente substituído por marcas viárias (canteiro fictício). (Anexo I do CTB).
CAPACETE CERTIFICADO;aquele que possui aplicado as marcações (selo de certificação holográfico/etiqueta interna), com a marca do Sistema Brasileiro de Avaliação da Conformidade- SBAC, comercializado, após o controle do processo de fabricação e ensaios específicos, de maneira a garantir que os requisitos técnicos, definidos na norma técnica, foram atendidos (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
CAPACETE MOTOCICLÍSTICO;equipamento que tem a finalidade de proteger a calota craniana, o qual deve ser calçado e fixado na cabeça do usuário, de forma que fique firme, com o tamanho adequado (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
CAPACIDADE DO VEÍCULO;"de passageiro, é consultada no CRV ou CLA; destinados à condução coletiva de escolares, em local visível na parte interna; veículo de carga, é de 3 pessoas incluindo o motorista. (MBFT - Manual Brasileiro de Fiscalização de Trânsito)."
CAPACIDADE MÁXIMA DE TRAÇÃO;CMT - máximo peso que a unidade de tração é capaz de tracionar, indicado pelo fabricante, baseado em condições sobre suas limitações de geração e multiplicação de momento de força e resistência dos elementos que compõem a transmissão (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
CARGA COMPATIVEL;É aquela que excede os limites de peso, capacidade máxima de tração, ou ainda, limites laterais, altura ou comprimento do veículo. Ex.: caixas, tubos de PVC, prancha de surf, madeira, pacotes, embalagens, botijão de gás em cima da grelha, galões de água mineral em suporte lateral, dentre outros. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
CARGA INCOMPATÍVEL;É aquela que excede os limites de peso, capacidade máxima de tração, ou ainda, limites laterais, altura ou comprimento do veículo. Ex.: caixas, tubos de PVC, prancha de surf, madeira, pacotes, embalagens, botijão de gás em cima da grelha, galões de água mineral em suporte lateral, dentre outros. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
CARREATA;deslocamento em fila na via de veículos automotores em sinal de regozijo, de reivindicação, de protesto cívico ou de uma classe (Anexo I do CTB).
CARRO DE MÃO;veículo de propulsão humana utilizado no transporte de pequenas cargas (Anexo I do CTB).
CARROÇA;veículo de tração animal destinado ao transporte de carga (Anexo I do CTB). CATADIÓPTRICO - dispositivo de reflexão e refração da luz utilizado na sinalização de vias e veículos (olho-de-gato) (Anexo I do CTB).
CHARRETE;veículo de tração animal destinado ao transporte de pessoas (Anexo I do CTB).
CICLO;veículo de pelo menos duas rodas a propulsão humana (Anexo I do CTB).
CICLOFAIXA;parte da pista de rolamento destinada à circulação exclusiva de ciclos, delimitada por sinalização específica (Anexo I do CTB).
CICLOMOTOR;veículo de 2 (duas) ou 3 (três) rodas, provido de motor de combustão interna, cuja cilindrada não exceda a 50 cm3 (cinquenta centímetros cúbicos), equivalente a 3,05 pol 3 (três polegadas cúbicas e cinco centésimos), ou de motor de propulsão elétrica com potência máxima de 4 kW (quatro quilowatts), e cuja velocidade máxima de fabricação não exceda a 50 Km/h (cinquenta quilômetros por hora.(MBFT - Manual Brasileiro de Fiscalização de Trânsito).
CICLOVIA;pista própria destinada à circulação de ciclos, separada fisicamente do tráfego comum (Anexo I do CTB).
CINTA JUGULAR;confeccionada em materiais sintéticos, fixadas ao casco de forma apropriada, cuja finalidade é a de fixar firmemente (sem qualquer folga aparente) o capacete à calota craniana, por debaixo do maxilar inferior do usuário (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
CIRCULAÇÃO;movimentação de pessoas, animais e veículos em deslocamento, conduzidos ou não, em vias públicas ou privadas abertas ao público e de uso coletivo (Lei 14.229/21).
COMBOIO;porção de carros que se dirigem ao mesmo destino (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
CONVERSÃO;movimento em ângulo, à esquerda ou à direita, de mudança da direção original do veículo (Anexo I do CTB).
CRUZAMENTO;interseção de duas vias em nível (Anexo I do CTB).
CTV;Combinação para Transporte de Veículos. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
CTVP;Combinações de Transporte de Veículos e Cargas Paletizadas. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
CVC;Combinação de Veículos de Carga. (MBFT - Manual Brasileiro de Fiscalização de Trânsito). DECIBELÍMETRO -	(sonômetro) - equipamento hábil para medição de pressão sonora (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
DECLIVE;inclinação de terreno um tanto acentuada, em sentido descendente (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
DERRAMAR;espalhar, propagar, espargir, verter, deixar ou fazer correr líquidos, grãos, coisas miúdas.(MBFT - Manual Brasileiro de Fiscalização de Trânsito).
DETRITO;sobra de qualquer substância, resíduos, restos (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
DISPOSITIVO DE ILUMINAÇÃO;dispositivo veicular projetado para iluminar a via.(Resolução 970/22).
DISPOSITIVO DE SEGURANÇA;qualquer elemento que tenha a função específica de proporcionar maior segurança ao usuário da via, alertando-o sobre situações de perigo que possam colocar em risco sua integridade física e dos demais usuários da via, ou danificar seriamente o veículo (Anexo I do CTB).
DISPOSITIVO DE SINALIZAÇÃO;dispositivo projetado para emitir sinal luminoso para os outros usuários da via. (Resolução 970/2022).
DRC;Dispositivo de retenção para o transporte de crianças.
DRL;Farol de rodagem diurna (Daytime Running Light): é o farol voltado para a dianteira do veículo a fim de torná-lo mais facilmente visível quando em circulação durante o período de dia. Res. 970/2022, Anexo XIV.
ELEVADO;obra de arte que equipara-se a viaduto (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
EMBARCADOR;"aquele que embarca, que despacha para viagem (Mini Aurélio, 6ª Edição, 2005). EMERGÊNCIA - situação, conjuntura, circunstância crítica; incidente, caso de urgência (Mini Aurélio, 6ª Edição, 2005)."
EPI;Equipamento de proteção individual. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
EQUIPAMENTO  DE  MOBILIDADE  INDIVIDUAL  AUTOPROPELIDO;Equipamento  de autopropulsão, provido de motor elétrico ou a combustão, individual, com uma ou mais rodas, com velocidade máxima de 6 km/h, em áreas de circulação de pedestres e 20 km/h em ciclovias e ciclofaixas, e com dimensões de largura e comprimento iguais ou inferiores às de uma cadeira de rodas especificadas pela Norma Brasileira ABNT NBR 9050. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
ESCALA RINGELMANN;"escala impressa, constituída de seis campos de densidade colorimétrica de 0;20;40;60;80 e 100% determinado por reticulado de 1 x 1 cm de linhas negras e de espessuras, sobre fundo branco fosco e que deve ser observado a uma distância que permita a visualização das tonalidade de modo uniforme (MBFT - Manual Brasileiro de Fiscalização de Trânsito)."
ESPAÇO COMPARTILHADO COM PEDESTRES;espaço da via pública destinado prioritariamente aos pedestres onde os ciclistas compartilham a mesma área de circulação, desde que devidamente sinalizado. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
ESTACIONAMENTO;imobilização de veículos por tempo superior ao necessário para embarque ou desembarque de passageiros (Anexo I do CTB).
ESTRADA;via rural não pavimentada (Anexo I do CTB).
ETILÔMETRO;aparelho destinado à medição do teor alcoólico no ar alveolar (Lei Federal 12.760/12).
EVENTO;"que necessite de autorização da Autoridade Competente é o acontecimento realizado na via que, cumulativamente: a) causar interferência significativa no fluxo viário ou prejudicar a segurança dos usuários das vias urbanas ou rurais; e b) for organizado previamente, com objetivo comum a ser atingido pelos participantes.(MBFT - Manual Brasileiro de Fiscalização de Trânsito)."
FAIXAS DE DOMÍNIO;superfície lindeira às vias rurais, delimitada por lei específica e sob responsabilidade do órgão ou entidade de trânsito competente com circunscrição sobre a via (Anexo I do CTB).
FAIXAS DE TRÂNSITO;qualquer uma das áreas longitudinais em que a pista pode ser subdividida, sinalizada ou não por marcas viárias longitudinais, que tenham uma largura suficiente para permitir a circulação de veículos automotores (Anexo I do CTB).
FAROL DE LONGO ALCANCE;"o mesmo que ""farol de luz alta"" (Resolução 227/07 do CONTRAN). FAROL DE LUZ BAIXA - é um farol utilizado para iluminar a via, à frente do veículo, sem causar ofuscamento ou desconforto aos motoristas que se aproximam em sentido contrário e nem a outros usuários da via. (MBFT - Manual Brasileiro de Fiscalização de Trânsito)."
FAROL DE LUZ ALTA;é o farol utilizado para iluminar a via a uma longa distância à frente do veículo. O farol de longo alcance, destinado a auxiliar a iluminação à distância à frente do veículo, deve ser considerado, para os fins desta ficha, como farol de luz alta. (MBFT - Manual Brasileiro de Fiscalização de Trânsito).
FAROL DE LUZ BAIXA PRINCIPAL;é um farol de luz baixa produzido sem a contribuição de emissor infravermelho (IR) e/ou fontes de luz adicionais para iluminação de curvas.(MBFT - Manual Brasileiro de Fiscalização de Trânsito).
FAROL DE NEBLINA;dispositivo de iluminação utilizado para melhorar a iluminação e visibilidade da via para o condutor em caso de neblina, nevoeiro, fumaça, chuva forte ou nuvem de poeira. (Resolução 970/2022).
FAROL DE RODAGEM DIURNA;farol voltado para a dianteira do veículo a fim de torná-lo mais facilmente visível quando em circulação durante o período de dia (Anexo XIV da Resolução 667/17 do CONTRAN).
FAROL;dispositivo de iluminação utilizado para iluminar a via à frente do veículo. (Resolução 970/2022).
